Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
156,Inflammatory mediator regulation of TRP channels,0.47066030725549524,1.141913405743193,0.8605672520255756,PRKCB;PRKCE;GNAQ;TRPV2,0.8206384844454789
157,Non-small cell lung cancer,0.48161845994499025,1.1666261841146466,0.8523406544739595,GADD45B;PRKCB;HGF,0.8306502848977336
158,Cushing syndrome,0.4855639533041899,1.0805274998352739,0.7806209043384266,NR4A1;CDKN2B;RAP1A;GNAQ;AGTR1;KCNK3,0.8306502848977336
159,Non-alcoholic fatty liver disease,0.4855639533041899,1.0805274998352739,0.7806209043384266,SOCS3;IL6;LEPR;PPARG;FOS;COX7A1,0.8306502848977336
160,Purine metabolism,0.49633606685861287,1.0818762989066595,0.7578565409347913,GUCY1A2;NPR1;AK1;PDE5A;PAPSS2,0.8374009197932178
161,Hepatitis C,0.49801582817042084,1.0661044184167263,0.7432063571646975,CLDN22;CLDN5;SOCS3;CLDN18;CFLAR;TLR3,0.8374009197932178
162,Glycosaminoglycan degradation,0.5013984208232801,1.4904828226555247,1.0289611404372534,HYAL1,0.8374009197932178
163,Longevity regulating pathway,0.5018248159054945,1.0950763522192093,0.7550597359575197,KL;CAT;PPARG;FOXA2,0.8374009197932178
164,Glioma,0.5088916092812743,1.1178421787709498,0.7551250095917619,SHC3;GADD45B;PRKCB,0.8440153519786988
165,Chronic myeloid leukemia,0.5178145692802186,1.102471875717456,0.725578718217366,SHC3;GADD45B;TGFBR2,0.8504163812622237
166,"Valine, leucine and isoleucine degradation",0.5190041150350336,1.1663937905524224,0.76497174756613,ALDH2;AOX1,0.8504163812622237
167,Human papillomavirus infection,0.5296033787940777,1.0089166552123192,0.6412945603432759,PARD6B;TNXB;VWF;COL4A4;NOTCH4;COL4A3;ITGA1;ITGA8;COL6A6;PTGS2;TLR3;HLA-E,0.8625875391137073
168,Pantothenate and CoA biosynthesis,0.5366371264319715,1.3412952646239555,0.834866643483651,ALDH2,0.8684723290678064
169,Th17 cell differentiation,0.539602292692865,1.0416457329078688,0.6426151123416937,IL6;HLA-DMA;FOS;TGFBR2,0.8684723290678064
170,Apelin signaling pathway,0.5498493433180501,1.0158836261777437,0.6076111304126128,PRKCE;GNAQ;AGTR1;GNG11;KLF2,0.8726427344093899
171,Estrogen signaling pathway,0.5498493433180501,1.0158836261777437,0.6076111304126128,KCNJ5;SHC3;GNAQ;FOS;HBEGF,0.8726427344093899
172,Ovarian steroidogenesis,0.5518181997000554,1.0948111462158086,0.6509053351837223,ALOX5;PTGS2,0.8726427344093899
173,B cell receptor signaling pathway,0.5610650327005732,1.031532015470563,0.5961413910987671,PRKCB;FOS;LILRA2,0.8799658194931238
174,Human cytomegalovirus infection,0.5629503155463619,0.988495466241485,0.5679538143778518,IL6;PRKCB;GNAQ;CXCR2;CCL2;PTGS2;GNG11;HLA-E,0.8799658194931238
175,Pathogenic Escherichia coli infection,0.5661544794532966,0.9878548196333531,0.5619790550354792,CLDN22;CLDN5;IL6;CLDN18;MYH11;FOS;WASF3,0.8799658194931238
176,Peroxisome,0.5694290018332945,1.0184216109186055,0.5734947705310098,CAT;ACSL5;FAR2,0.8800266391969096
177,Autoimmune thyroid disease,0.5728006917625744,1.0517679875297399,0.5860634819458336,HLA-DMA;HLA-E,0.8802360912961595
178,Cholinergic synapse,0.5829283209818515,0.9839994867517803,0.531055714987906,PRKCB;GNAQ;FOS;GNG11,0.8907668725115934
179,alpha-Linolenic acid metabolism,0.5998280090465063,1.1175139275766017,0.571175132186095,PLA2G1B,0.9086798002711103
180,Hedgehog signaling pathway,0.602916224005171,0.9931814659848133,0.5025270023565548,HHIP;ARRB1,0.9086798002711103
181,Cardiac muscle contraction,0.6097386199453751,0.9575518754988028,0.4737247611524357,TNNC1;CACNA2D2;COX7A1,0.9086798002711103
182,Folate biosynthesis,0.6142321521081849,1.072757660167131,0.5228431219300812,ALPL,0.9086798002711103
183,Maturity onset diabetes of the young,0.6142321521081849,1.072757660167131,0.5228431219300812,FOXA2,0.9086798002711103
184,Neurotrophin signaling pathway,0.6238075900738381,0.9323685010641533,0.43999710305533396,SHC3;RAP1A;RPS6KA2;IRAK3,0.9086798002711103
185,Gastric cancer,0.6245342818107317,0.9306430905695612,0.4380993564610526,CDKN2B;SHC3;GADD45B;HGF;TGFBR2,0.9086798002711103
186,Biosynthesis of unsaturated fatty acids,0.6281185126889898,1.0314441825583887,0.47964879135967564,HACD4,0.9086798002711103
187,Collecting duct acid secretion,0.6281185126889898,1.0314441825583887,0.47964879135967564,CA2,0.9086798002711103
188,Fatty acid elongation,0.6281185126889898,1.0314441825583887,0.47964879135967564,HACD4,0.9086798002711103
189,VEGF signaling pathway,0.6313988318060288,0.9407619467077736,0.43257885631385107,PRKCB;PTGS2,0.9086798002711103
190,Thyroid hormone signaling pathway,0.6368564214420659,0.9163349471041778,0.41346045076283544,PLN;PRKCB;NOTCH4;RCAN2,0.9117102454328522
191,Linoleic acid metabolism,0.6544115705628032,0.9576701153999204,0.40607014526336227,PLA2G1B,0.9207419665670407
192,GnRH signaling pathway,0.6546701081519681,0.8934357541899441,0.37848066881060355,PRKCB;GNAQ;HBEGF,0.9207419665670407
193,Cellular senescence,0.6644907872595105,0.8871760624779713,0.36261925590612626,IL6;CDKN2B;GADD45B;HLA-E;TGFBR2,0.9207419665670407
194,Glyoxylate and dicarboxylate metabolism,0.6668534677983395,0.9245989818461243,0.37463358821644593,CAT,0.9207419665670407
195,Pentose phosphate pathway,0.6668534677983395,0.9245989818461243,0.37463358821644593,FBP1,0.9207419665670407
